u[V],p[V],s[mm] 
0.000,-0.015,0.000
0.010,-0.015,0.049
0.020,-0.010,0.000
0.030,-0.015,0.049
0.040,-0.015,0.000
0.050,-0.010,0.000
0.060,-0.015,0.049
0.070,-0.015,0.000
0.080,-0.020,0.049
0.090,-0.015,0.000
0.100,-0.015,0.000
0.110,-0.015,0.049
0.120,-0.010,0.000
0.130,-0.015,0.000
0.140,-0.010,0.000
0.150,-0.010,0.000
0.160,-0.015,0.000
0.170,-0.015,0.000
0.180,-0.015,0.049
0.190,-0.015,0.000
0.200,-0.015,0.049
0.210,-0.015,0.049
0.220,-0.010,0.000
0.230,-0.010,0.000
0.240,-0.010,0.049
0.250,-0.015,0.049
0.260,-0.015,0.000
0.270,-0.015,0.049
0.280,-0.020,0.000
0.290,-0.015,0.049
0.300,-0.015,0.000
0.310,-0.015,0.000
0.320,-0.015,0.000
0.330,-0.015,0.000
0.340,-0.015,0.049
0.350,-0.010,0.049
0.360,-0.010,0.000
0.370,-0.015,0.000
0.380,-0.010,0.049
0.390,-0.015,0.049
0.000,0.820,-0.098
0.010,0.786,-0.146
0.020,0.796,-0.098
0.030,0.791,-0.146
0.040,0.796,-0.146
0.050,0.796,-0.146
0.060,0.791,-0.146
0.070,0.791,-0.146
0.080,0.796,-0.146
0.090,0.796,-0.098
0.100,0.796,-0.146
0.110,0.801,-0.098
0.120,0.796,-0.146
0.130,0.796,-0.146
0.140,0.796,-0.098
0.150,0.791,-0.146
0.160,0.791,-0.098
0.170,0.796,-0.195
0.180,0.801,-0.146
0.190,0.845,-0.098
0.200,0.854,-0.098
0.210,0.854,-0.098
0.220,0.854,-0.098
0.230,0.850,-0.146
0.240,0.859,-0.098
0.250,0.864,-0.146
0.260,0.869,-0.098
0.270,0.874,-0.146
0.280,0.884,-0.098
0.290,0.889,-0.098
0.300,0.898,-0.098
0.310,0.908,-0.098
0.320,0.918,-0.098
0.330,0.928,-0.049
0.340,0.928,-0.098
0.350,0.928,-0.049
0.360,0.947,-0.049
0.370,0.947,-0.049
0.380,0.947,-0.049
0.390,0.962,-0.049
0.400,0.967,0.000
0.410,0.972,-0.049
0.420,0.981,0.000
0.430,0.986,0.000
0.440,0.991,0.000
0.450,1.001,0.049
0.460,1.011,0.000
0.470,1.016,0.049
0.480,1.021,0.000
0.490,1.025,0.049
0.500,1.030,0.000
0.510,1.045,0.049
0.520,1.045,0.049
0.530,1.060,0.049
0.540,1.060,0.098
0.550,1.069,0.098
0.560,1.079,0.098
0.570,1.084,0.098
0.580,1.084,0.098
0.590,1.104,0.098
0.000,0.869,-0.098
0.010,0.786,-0.244
0.000,0.796,0.049
0.010,0.791,0.049
0.020,0.796,0.049
0.030,0.796,0.049
0.040,0.791,0.000
0.050,0.791,0.000
0.060,0.791,0.049
0.070,0.796,0.000
0.080,0.791,0.000
0.090,0.791,0.049
0.100,0.796,0.000
0.110,0.791,0.000
0.120,0.796,0.000
0.130,0.796,0.000
0.140,0.791,0.000
0.150,0.796,0.000
0.160,0.791,0.000
0.170,0.796,0.049
0.180,0.806,0.000
0.190,0.815,0.000
0.200,0.825,0.000
0.210,0.835,0.049
0.220,0.845,0.000
0.230,0.845,0.000
0.240,0.854,0.049
0.250,0.864,0.049
0.260,0.879,0.049
0.270,0.879,0.049
0.280,0.879,0.049
0.290,0.889,0.000
0.300,0.903,0.049
0.310,0.908,0.049
0.320,0.913,0.049
0.330,0.923,0.098
0.340,0.928,0.049
0.350,0.938,0.049
0.360,0.938,0.098
0.370,0.947,0.098
0.380,0.957,0.146
0.390,0.957,0.098
0.400,0.967,0.098
0.410,0.977,0.098
0.420,0.981,0.098
0.430,0.991,0.146
0.440,0.991,0.146
0.450,0.996,0.146
0.460,1.006,0.146
0.470,1.011,0.146
0.480,1.016,0.146
0.490,1.035,0.146
0.500,1.040,0.195
0.510,1.040,0.195
0.520,1.055,0.244
0.530,1.060,0.244
0.540,1.060,0.244
0.550,1.074,0.244
0.560,1.074,0.244
0.570,1.084,0.195
0.580,1.089,0.244
0.590,1.099,0.244
0.600,1.104,0.244
0.610,1.108,0.293
0.620,1.118,0.244
0.630,1.133,0.293
0.640,1.133,0.342
0.650,1.138,0.293
0.660,1.147,0.342
0.670,1.152,0.342
0.680,1.157,0.342
0.690,1.162,0.342
0.700,1.172,0.342
0.710,1.182,0.342
0.720,1.182,0.342
0.730,1.191,0.391
0.740,1.201,0.391
0.750,1.206,0.391
0.760,1.206,0.391
0.770,1.216,0.342
0.780,1.216,0.391
0.790,1.235,0.391
0.800,1.240,0.439
0.810,1.245,0.488
0.820,1.255,0.488
0.830,1.260,0.439
0.840,1.260,0.488
0.850,1.274,0.488
0.860,1.279,0.488
0.870,1.284,0.488
0.880,1.294,0.537
0.890,1.294,0.537
0.900,1.309,0.488
0.910,1.313,0.586
0.920,1.309,0.537
0.930,1.328,0.586
0.940,1.338,0.586
0.950,1.333,0.635
0.960,1.353,0.635
0.970,1.353,0.635
0.980,1.357,0.684
0.990,1.367,0.684
1.000,1.372,0.635
1.010,1.382,0.684
1.020,1.382,0.684
1.030,1.392,0.684
1.040,1.396,0.684
1.050,1.416,0.732
1.060,1.416,0.732
1.070,1.416,0.684
1.080,1.421,0.781
1.090,1.445,0.781
1.100,1.440,0.781
1.110,1.445,0.732
1.120,1.455,0.830
1.130,1.460,0.830
1.140,1.465,0.830
1.150,1.484,0.830
1.160,1.494,0.879
1.170,1.494,0.879
1.180,1.494,0.879
1.190,1.509,0.928
1.200,1.514,0.928
1.210,1.514,0.879
1.220,1.533,0.928
1.230,1.528,0.928
1.240,1.528,0.928
1.250,1.548,0.977
1.260,1.558,0.977
1.270,1.558,0.977
1.280,1.563,0.977
1.290,1.567,1.025
1.300,1.572,1.025
1.310,1.582,1.025
1.320,1.582,1.025
1.330,1.592,1.074
1.340,1.597,1.074
1.350,1.611,1.074
1.360,1.611,1.123
1.370,1.626,1.074
1.380,1.621,1.123
1.390,1.626,1.123
1.400,1.660,1.123
1.410,1.665,1.172
1.420,1.665,1.221
1.430,1.665,1.221
1.440,1.665,1.221
1.450,1.665,1.221
1.460,1.689,1.270
1.470,1.689,1.270
1.480,1.699,1.270
1.490,1.709,1.221
1.500,1.709,1.270
1.510,1.719,1.318
1.520,1.719,1.318
1.530,1.724,1.318
1.540,1.758,1.367
1.550,1.758,1.367
1.560,1.758,1.416
1.570,1.758,1.416
1.580,1.777,1.465
1.590,1.772,1.465
1.600,1.777,1.465
1.610,1.782,1.416
1.620,1.792,1.514
1.630,1.797,1.514
1.640,1.812,1.563
1.650,1.812,1.514
1.660,1.812,1.563
1.670,1.836,1.563
1.680,1.836,1.563
1.690,1.831,1.611
1.700,1.846,1.611
1.710,1.851,1.563
1.720,1.855,1.660
1.730,1.870,1.611
1.740,1.875,1.660
1.750,1.875,1.709
1.760,1.895,1.709
1.770,1.890,1.758
1.780,1.904,1.709
1.790,1.909,1.758
1.800,1.919,1.807
1.810,1.919,1.758
1.820,1.924,1.807
1.830,1.934,1.855
1.840,1.943,1.855
1.850,1.938,1.855
1.860,1.963,1.855
1.870,1.958,1.953
1.880,1.968,1.953
1.890,1.968,1.953
1.900,1.978,1.953
1.910,1.978,1.953
1.920,2.007,2.002
1.930,2.017,2.051
1.940,2.012,2.002
1.950,2.007,2.002
1.960,2.026,2.002
1.970,2.021,2.100
1.980,2.051,2.100
1.990,2.061,2.197
2.000,2.061,2.148
2.010,2.056,2.148
2.020,2.065,2.197
2.030,2.065,2.197
2.040,2.080,2.197
2.050,2.090,2.197
2.060,2.080,2.197
2.070,2.100,2.246
2.080,2.104,2.295
2.090,2.114,2.295
2.100,2.119,2.344
2.110,2.129,2.295
2.120,2.129,2.344
2.130,2.139,2.344
2.140,2.139,2.344
2.150,2.153,2.393
2.160,2.153,2.393
2.170,2.168,2.441
2.180,2.168,2.441
2.190,2.183,2.490
2.200,2.188,2.490
2.210,2.197,2.490
2.220,2.197,2.539
2.230,2.202,2.539
2.240,2.222,2.539
2.250,2.217,2.588
2.260,2.217,2.588
2.270,2.236,2.588
2.280,2.231,2.637
2.290,2.246,2.637
2.300,2.241,2.686
2.310,2.261,2.734
2.320,2.256,2.734
2.330,2.261,2.734
2.340,2.290,2.832
2.350,2.290,2.783
2.360,2.295,2.783
2.370,2.295,2.783
2.380,2.310,2.832
2.390,2.310,2.832
2.400,2.310,2.881
2.410,2.319,2.881
2.420,2.334,2.881
2.430,2.334,2.930
2.440,2.344,2.979
2.450,2.349,2.979
2.460,2.358,3.027
2.470,2.368,3.027
2.480,2.373,3.027
2.490,2.388,3.076
2.500,2.383,3.125
2.510,2.393,3.076
2.520,2.412,3.174
2.530,2.407,3.174
2.540,2.407,3.125
2.550,2.422,3.223
2.560,2.422,3.271
2.570,2.441,3.271
2.580,2.437,3.271
2.590,2.446,3.320
2.600,2.451,3.320
2.610,2.466,3.320
2.620,2.471,3.369
2.630,2.476,3.369
2.640,2.476,3.418
2.650,2.485,3.418
2.660,2.485,3.467
2.670,2.505,3.467
2.680,2.505,3.516
2.690,2.520,3.564
2.700,2.520,3.564
2.710,2.529,3.613
2.720,2.534,3.564
2.730,2.539,3.613
2.740,2.549,3.662
2.750,2.549,3.613
2.760,2.559,3.711
2.770,2.563,3.711
2.780,2.573,3.711
2.790,2.573,3.760
2.800,2.593,3.809
2.810,2.593,3.809
2.820,2.598,3.809
2.830,2.598,3.809
2.840,2.617,3.906
2.850,2.622,3.955
2.860,2.622,3.906
2.870,2.637,3.955
2.880,2.642,3.955
2.890,2.646,4.004
2.900,2.651,4.004
2.910,2.651,4.004
2.920,2.661,4.102
2.930,2.666,4.102
2.940,2.676,4.102
2.950,2.676,4.150
2.960,2.700,4.199
2.970,2.705,4.248
2.980,2.700,4.199
2.990,2.710,4.248
3.000,2.715,4.297
3.010,2.729,4.297
3.020,2.734,4.346
3.030,2.759,4.395
3.040,2.759,4.443
3.050,2.759,4.443
3.060,2.759,4.492
3.070,2.773,4.492
3.080,2.769,4.443
3.090,2.783,4.541
3.100,2.788,4.541
3.110,2.798,4.590
3.120,2.798,4.590
3.130,2.817,4.688
3.140,2.817,4.688
3.150,2.817,4.688
3.160,2.827,4.736
3.170,2.827,4.736
3.180,2.837,4.736
3.190,2.842,4.785
3.200,2.861,4.834
3.210,2.856,4.834
3.220,2.871,4.834
3.230,2.871,4.932
3.240,2.881,4.980
3.250,2.886,4.932
3.260,2.900,4.980
3.270,2.896,5.029
3.280,2.900,5.029
3.290,2.910,5.078
3.300,2.935,5.127
3.310,2.930,5.176
3.320,2.930,5.127
3.330,2.939,5.225
3.340,2.939,5.176
3.350,2.949,5.273
3.360,2.964,5.273
3.370,2.964,5.322
3.380,2.979,5.273
3.390,2.979,5.371
3.400,2.979,5.420
3.410,2.988,5.371
3.420,3.003,5.420
3.430,3.003,5.469
3.440,3.018,5.518
3.450,3.018,5.518
3.460,3.042,5.566
3.470,3.037,5.615
3.480,3.042,5.615
3.490,3.047,5.664
3.500,3.047,5.713
3.510,3.066,5.713
3.520,3.066,5.762
3.530,3.076,5.811
3.540,3.076,5.762
3.550,3.096,5.859
3.560,3.096,5.859
3.570,3.101,5.908
3.580,3.110,5.908
3.590,3.125,6.006
3.600,3.120,6.006
3.610,3.145,6.055
3.620,3.140,6.104
3.630,3.140,6.104
3.640,3.149,6.104
3.650,3.154,6.201
3.660,3.164,6.201
3.670,3.169,6.201
3.680,3.184,6.299
3.690,3.184,6.299
3.700,3.184,6.299
3.710,3.198,6.348
3.720,3.198,6.396
3.730,3.218,6.445
3.740,3.218,6.494
3.750,3.218,6.445
3.760,3.228,6.543
3.770,3.228,6.543
3.780,3.252,6.592
3.790,3.247,6.689
3.800,3.252,6.641
3.810,3.262,6.689
3.820,3.262,6.738
3.830,3.271,6.689
3.840,3.276,6.738
3.850,3.306,6.885
3.860,3.306,6.885
3.870,3.311,6.885
3.880,3.315,6.934
3.890,3.315,6.934
3.900,3.325,7.031
3.910,3.325,7.080
3.920,3.340,7.080
3.930,3.340,7.129
3.940,3.350,7.178
3.950,3.350,7.178
3.960,3.354,7.227
3.970,3.374,7.275
3.980,3.369,7.324
3.990,3.379,7.324
4.000,3.389,7.373
4.010,3.403,7.422
4.020,3.403,7.471
4.030,3.418,7.520
4.040,3.418,7.520
4.050,3.423,7.520
4.060,3.423,7.568
4.070,3.447,7.617
4.080,3.447,7.715
4.090,3.447,7.666
4.100,3.472,7.764
4.110,3.472,7.861
4.120,3.472,7.861
4.130,3.477,7.861
4.140,3.491,7.959
4.150,3.491,7.910
4.160,3.491,8.008
4.170,3.501,7.959
4.180,3.516,8.057
4.190,3.516,8.105
4.200,3.521,8.105
4.210,3.540,8.203
4.220,3.540,8.252
4.230,3.545,8.252
4.240,3.550,8.301
4.250,3.564,8.350
4.260,3.560,8.350
4.270,3.579,8.447
4.280,3.574,8.496
4.290,3.599,8.545
4.300,3.594,8.594
4.310,3.594,8.643
4.320,3.608,8.594
4.330,3.608,8.643
4.340,3.618,8.691
4.350,3.623,8.789
4.360,3.643,8.789
4.370,3.633,8.838
4.380,3.643,8.838
4.390,3.647,8.936
4.400,3.667,8.984
4.410,3.667,9.033
4.420,3.672,8.984
4.430,3.672,9.082
4.440,3.682,9.131
4.450,3.706,9.229
4.460,3.701,9.229
4.470,3.711,9.277
4.480,3.711,9.277
4.490,3.711,9.326
4.500,3.730,9.375
4.510,3.730,9.375
4.520,3.740,9.424
4.530,3.740,9.473
4.540,3.755,9.521
4.550,3.760,9.619
4.560,3.770,9.619
4.570,3.770,9.668
4.580,3.784,9.717
4.590,3.784,9.766
4.600,3.779,9.766
4.610,3.799,9.863
4.620,3.799,9.863
4.630,3.813,9.912
4.640,3.809,9.961
4.650,3.818,10.010
4.660,3.828,10.010
4.670,3.838,10.107
4.680,3.838,10.107
4.690,3.867,10.254
4.700,3.862,10.254
4.710,3.867,10.352
4.720,3.877,10.352
4.730,3.877,10.400
4.740,3.892,10.449
4.750,3.892,10.498
4.760,3.901,10.547
4.770,3.892,10.596
4.780,3.916,10.596
4.790,3.916,10.645
4.800,3.921,10.693
4.810,3.931,10.791
4.820,3.936,10.742
4.830,3.945,10.840
4.840,3.945,10.840
4.850,3.970,10.986
4.860,3.970,11.035
4.870,3.970,11.035
4.880,3.970,11.035
4.890,3.989,11.133
4.900,3.984,11.182
4.910,4.009,11.279
4.920,4.019,11.328
4.930,4.014,11.328
4.940,4.014,11.377
4.950,4.028,11.426
4.960,4.019,11.426
4.970,4.043,11.475
4.980,4.043,11.572
4.990,4.048,11.572
5.000,4.058,11.670
5.010,4.063,11.670
5.020,4.067,11.719
5.030,4.067,11.816
5.040,4.082,11.816
5.050,4.082,11.865
5.060,4.106,11.963
5.070,4.106,12.012
5.080,4.106,12.061
5.090,4.111,12.061
5.100,4.126,12.158
5.110,4.141,12.256
5.120,4.141,12.256
5.130,4.150,12.305
5.140,4.150,12.354
5.150,4.160,12.402
5.160,4.170,12.451
5.170,4.180,12.500
5.180,4.180,12.549
5.190,4.185,12.598
5.200,4.185,12.646
5.210,4.204,12.695
5.220,4.194,12.695
5.230,4.233,12.891
5.240,4.229,12.891
5.250,4.229,12.939
5.260,4.229,12.988
5.270,4.253,13.086
5.280,4.253,13.086
5.290,4.253,13.135
5.300,4.263,13.184
5.310,4.263,13.232
5.320,4.297,13.379
5.330,4.287,13.428
5.340,4.292,13.428
5.350,4.292,13.428
5.360,4.302,13.525
5.370,4.307,13.623
5.380,4.321,13.623
5.390,4.321,13.721
5.400,4.326,13.770
5.410,4.341,13.818
5.420,4.341,13.770
5.430,4.370,13.916
5.440,4.360,14.014
5.450,4.360,14.014
5.460,4.365,14.063
5.470,4.380,14.111
5.480,4.380,14.111
5.490,4.385,14.209
5.500,4.395,14.258
5.510,4.390,14.258
5.520,4.414,14.355
5.530,4.419,14.453
5.540,4.424,14.453
5.550,4.424,14.502
5.560,4.443,14.600
5.570,4.438,14.697
5.580,4.448,14.746
5.590,4.458,14.795
5.600,4.473,14.795
5.610,4.463,14.844
5.620,4.478,14.990
5.630,4.487,14.990
5.640,4.492,15.039
5.650,4.497,15.088
5.660,4.507,15.137
5.670,4.512,15.186
5.680,4.526,15.283
5.690,4.526,15.332
5.700,4.531,15.381
5.710,4.541,15.479
5.720,4.541,15.527
5.730,4.561,15.527
5.740,4.556,15.625
5.750,4.570,15.674
5.760,4.575,15.723
5.770,4.580,15.771
5.780,4.580,15.820
5.790,4.604,15.967
5.800,4.609,16.016
5.810,4.604,16.016
5.820,4.619,16.064
5.830,4.619,16.113
5.840,4.634,16.211
5.850,4.629,16.260
5.860,4.639,16.309
5.870,4.668,16.455
5.880,4.663,16.504
5.890,4.668,16.504
5.900,4.663,16.553
5.910,4.678,16.650
5.920,4.683,16.699
5.930,4.683,16.748
5.940,4.702,16.797
5.950,4.702,16.895
5.960,4.702,16.846
5.970,4.727,16.992
5.980,4.731,17.090
5.990,4.731,17.090
6.000,4.722,17.090
6.010,4.741,17.236
6.020,4.746,17.285
6.030,4.761,17.334
6.040,4.761,17.383
6.050,4.766,17.480
6.060,4.771,17.432
6.070,4.790,17.578
6.080,4.790,17.627
6.090,4.785,17.676
6.100,4.800,17.725
6.110,4.800,17.773
6.120,4.810,17.822
6.130,4.814,17.822
6.140,4.854,18.066
6.150,4.849,18.115
6.160,4.849,18.115
6.170,4.854,18.164
6.180,4.854,18.213
6.190,4.878,18.311
6.200,4.878,18.311
6.210,4.878,18.408
6.220,4.888,18.457
6.230,4.888,18.506
6.240,4.902,18.506
6.250,4.897,18.604
6.260,4.907,18.652
6.270,4.917,18.750
6.280,4.941,18.848
6.290,4.937,18.896
6.300,4.932,18.896
6.310,4.941,18.945
6.320,4.941,19.043
6.330,4.976,19.189
6.340,4.976,19.287
6.350,4.980,19.287
6.360,4.976,19.336
6.370,4.990,19.434
6.380,4.985,19.434
6.390,5.005,19.531
6.400,5.010,19.580
6.410,5.020,19.678
6.420,5.020,19.678
6.430,5.034,19.824
6.440,5.029,19.873
6.450,5.034,19.873
6.460,5.039,19.971
6.470,5.054,20.020
6.480,5.054,20.068
6.490,5.063,20.166
6.500,5.063,20.166
6.510,5.083,20.313
6.520,5.078,20.313
6.530,5.098,20.459
6.540,5.098,20.508
6.550,5.103,20.508
6.560,5.107,20.605
6.570,5.127,20.654
6.580,5.122,20.752
6.590,5.137,20.850
6.600,5.142,20.898
6.610,5.146,20.898
6.620,5.151,20.996
6.630,5.161,21.045
6.640,5.161,21.045
6.650,5.186,21.240
6.660,5.190,21.289
6.670,5.186,21.240
6.680,5.200,21.338
6.690,5.200,21.387
6.700,5.215,21.484
6.710,5.220,21.533
6.720,5.215,21.533
6.730,5.225,21.631
6.740,5.234,21.680
6.750,5.229,21.729
6.760,5.249,21.777
6.770,5.249,21.875
6.780,5.259,21.875
6.790,5.273,21.973
6.800,5.269,22.021
6.810,5.293,22.119
6.820,5.293,22.168
6.830,5.293,22.217
6.840,5.308,22.363
6.850,5.303,22.363
6.860,5.317,22.461
6.870,5.308,22.461
6.880,5.332,22.559
6.890,5.327,22.607
6.900,5.342,22.656
6.910,5.337,22.705
6.920,5.356,22.803
6.930,5.356,22.900
6.940,5.361,22.900
6.950,5.376,23.047
6.960,5.381,23.047
6.970,5.381,23.096
6.980,5.400,23.193
6.990,5.396,23.242
7.000,5.410,23.291
7.010,5.410,23.291
7.020,5.435,23.438
7.030,5.430,23.535
7.040,5.435,23.535
7.050,5.439,23.584
7.060,5.449,23.633
7.070,5.449,23.682
7.080,5.469,23.730
7.090,5.469,23.779
7.100,5.479,23.877
7.110,5.474,23.975
7.120,5.498,24.072
7.130,5.493,24.072
7.140,5.503,24.121
7.150,5.508,24.219
7.160,5.518,24.268
7.170,5.513,24.316
7.180,5.547,24.463
7.190,5.552,24.512
7.200,5.547,24.561
7.210,5.562,24.658
7.220,5.557,24.658
7.230,5.557,24.658
7.240,5.581,24.756
7.250,5.576,24.854
7.260,5.591,24.902
7.270,5.596,24.951
7.280,5.591,25.000
7.290,5.610,25.098
7.300,5.615,25.146
7.310,5.620,25.195
7.320,5.630,25.244
7.330,5.625,25.293
7.340,5.635,25.342
7.350,5.649,25.391
7.360,5.645,25.439
7.370,5.654,25.488
7.380,5.659,25.586
7.390,5.674,25.684
7.400,5.679,25.684
7.410,5.693,25.830
7.420,5.693,25.879
7.430,5.693,25.879
7.440,5.718,26.025
7.450,5.718,26.025
7.460,5.718,26.074
7.470,5.742,26.172
7.480,5.742,26.221
7.490,5.742,26.270
7.500,5.742,26.318
7.510,5.752,26.367
7.520,5.752,26.416
7.530,5.762,26.465
7.540,5.767,26.514
7.550,5.786,26.611
7.560,5.781,26.709
7.570,5.786,26.709
7.580,5.786,26.709
7.590,5.806,26.855
7.600,5.806,26.855
7.610,5.835,27.002
7.620,5.840,27.002
7.630,5.835,27.051
7.640,5.845,27.100
7.650,5.845,27.148
7.660,5.859,27.197
7.670,5.859,27.246
7.680,5.859,27.295
7.690,5.879,27.344
7.700,5.879,27.441
7.710,5.889,27.490
7.720,5.908,27.539
7.730,5.908,27.637
7.740,5.903,27.637
7.750,5.913,27.637
7.760,5.918,27.734
7.770,5.928,27.783
7.780,5.923,27.881
7.790,5.947,27.930
7.800,5.942,27.979
7.810,5.947,28.027
7.820,5.981,28.174
7.830,5.981,28.223
7.840,5.977,28.223
7.850,5.981,28.271
7.860,5.986,28.320
7.870,5.991,28.369
7.880,6.011,28.418
7.890,6.006,28.516
7.900,6.016,28.516
7.910,6.016,28.564
7.920,6.040,28.662
7.930,6.035,28.711
7.940,6.035,28.760
7.950,6.060,28.809
7.960,6.055,28.906
7.970,6.060,28.857
7.980,6.084,29.004
7.990,6.079,29.053
8.000,6.074,29.102
8.010,6.079,29.102
8.020,6.089,29.102
8.030,6.104,29.199
8.040,6.104,29.297
8.050,6.118,29.297
8.060,6.118,29.395
8.070,6.123,29.443
8.080,6.123,29.443
8.090,6.147,29.541
8.100,6.147,29.590
8.110,6.147,29.590
8.120,6.167,29.688
8.130,6.167,29.736
8.140,6.167,29.785
8.150,6.172,29.834
8.160,6.167,29.834
8.170,6.206,29.932
8.180,6.201,30.029
8.190,6.201,29.980
8.200,6.201,29.980
8.210,6.230,30.127
8.220,6.230,30.176
8.230,6.230,30.225
8.240,6.250,30.273
8.250,6.250,30.273
8.260,6.270,30.371
8.270,6.265,30.420
8.280,6.265,30.469
8.290,6.270,30.518
8.300,6.279,30.518
8.310,6.279,30.566
8.320,6.309,30.664
8.330,6.304,30.762
8.340,6.304,30.762
8.350,6.323,30.811
8.360,6.318,30.811
8.370,6.338,30.908
8.380,6.338,31.006
8.390,6.338,31.006
8.400,6.343,31.006
8.410,6.362,31.055
8.420,6.362,31.152
8.430,6.357,31.152
8.440,6.387,31.201
8.450,6.387,31.348
8.460,6.387,31.348
8.470,6.392,31.348
8.480,6.392,31.396
8.490,6.396,31.445
8.500,6.401,31.494
8.510,6.416,31.494
8.520,6.411,31.543
8.530,6.450,31.738
8.540,6.450,31.689
8.550,6.450,31.787
8.560,6.455,31.738
8.570,6.465,31.836
8.580,6.465,31.885
8.590,6.465,31.934
8.600,6.479,31.982
8.610,6.479,32.031
8.620,6.494,32.080
8.630,6.494,32.129
8.640,6.494,32.129
8.650,6.528,32.178
8.660,6.533,32.324
8.670,6.519,32.324
8.680,6.538,32.373
8.690,6.548,32.422
8.700,6.543,32.471
8.710,6.558,32.520
8.720,6.558,32.520
8.730,6.572,32.617
8.740,6.567,32.617
8.750,6.587,32.715
